Lipids,OW40_1,OW40_2,OW40_3,OW40_5,OW40_6,OW40_7,OW450_2,OW450_3,OW450_7,OW450_1,OW450_5,OW450_6
FA18:1(13E),0.00121209611829899,0.00147480366808149,0.00152023779817164,0.00114450057425961,0.00115037751196074,0.00144098443222247,0.00202355363364049,0.00215501730579761,0.00154914777889973,0.00164390843714954,0.00212856345603015,0.00159701719295969
"FA18:2(7,10)",3.13012231877335e-4,2.13007916165595e-4,1.84484900793876e-4,1.21988783133503e-4,1.20072053519531e-4,3.28366471217841e-4,1.78814540066097e-4,1.83974870688755e-4,2.31243537710813e-4,1.67145581709775e-4,2.17249058761796e-4,1.03566457893863e-4
FA19:0(11Me),2.49167663689198e-5,1.86197346450662e-5,2.3604015075007e-5,1.94723010748271e-5,3.54982301770223e-5,2.35088816549828e-5,3.21411853088224e-5,2.3934560060185e-5,1.52671289191596e-5,2.48925363522618e-5,2.19704427758356e-5,1.43969344909429e-5
FA19:1(16Z),2.75320497607923e-5,3.15244440666117e-5,2.93510989274696e-5,3.8546353939723e-5,2.64059012582579e-5,3.51252304487118e-5,6.28435745872431e-5,5.93156245706464e-5,4.11496814388615e-5,4.87177951795487e-5,7.56305814228721e-5,5.58257926477247e-5
"FA20:2(7Z,12Z)",2.43520666334556e-5,2.11824182759182e-5,3.24319188879478e-5,2.30157720554247e-5,2.17078394545879e-5,2.33792273296822e-5,2.05058427346042e-5,1.87868502009176e-5,1.41820076086117e-5,1.80485875315371e-5,3.21374019806154e-5,1.60767770371146e-5
"FA20:3(5Z,9Z,12Z)",9.68610805921303e-4,0.00100032037119909,0.0010717498190155,8.96812009631557e-4,7.90379396996305e-4,8.2600198509749e-4,0.00100743352556318,0.0010876868589418,5.92375779996707e-4,8.36318440219966e-4,0.00113720015162467,7.73978156635417e-4
"FA20:4(5,8,11,14)",0.00424952493330719,0.00481994852180947,0.00503356469674861,0.00367708565234819,0.00349201240184114,0.00369947494507494,0.00492665243014419,0.00578481966040881,0.0028155379124229,0.00398893457974023,0.00581232950785519,0.00421411387348134
FA20:5(ω-3),0.00841701902689651,0.00981540540528504,0.0102597864533365,0.00870380720132023,0.00810790182855659,0.00940024189282976,0.010864423955808,0.0132332143454078,0.0103828981849799,0.00990952720408731,0.0129059470654313,0.0104764135440516
GlcCer(d16:1(4E)(15Me)/22:0(2OH),3.74250880467259e-4,4.75134568582783e-4,6.77193476580285e-4,9.16635725392368e-4,4.09884585149292e-4,2.74444549295402e-4,5.05038379911099e-4,0.00150940183493353,8.5053802218605e-4,6.5498201697121e-4,8.68005970529998e-4,3.06631075878063e-4
GlcCer(d16:1(4E)(15Me)/23:0(2OH),5.86561842202071e-5,8.5077462925515e-5,1.20986190297394e-4,1.39085218148409e-4,8.90132006476672e-5,8.12696272963158e-5,1.85748388880891e-4,4.94580947870626e-4,3.20136247521355e-4,2.26330583310668e-4,2.37973026649223e-4,1.82211371474109e-4
GlcCer(d16:1(4E)(15Me)/24:0(2OH),1.5543921852199e-5,3.14902616712823e-5,5.74600133902574e-5,6.07467640967107e-5,2.89097398479373e-5,3.15288402720635e-5,6.19675833056037e-5,1.4581275266857e-4,1.05294157076539e-4,5.87492702300119e-5,8.57008425016376e-5,5.1694710437244e-5
GlcCer(d16:1(4E)(15Me)/25:0(2OH),2.41129635890832e-5,3.82326560830303e-5,5.05354617840757e-5,1.27836085833643e-4,3.90421370651717e-5,5.53317302857289e-5,6.87812504468158e-5,2.00678761053035e-4,1.20285977438159e-4,8.40952161293483e-5,1.08578512395851e-4,9.24946733882122e-5
GlcCer(d18:1(8E)/21:0(2OH[R])),8.32161668571531e-6,1.13030832094723e-5,1.30586346774471e-5,1.87533479772459e-5,1.08328048909968e-5,8.46096722666502e-6,4.14196348405377e-5,8.08858443798037e-5,5.67110150587424e-5,3.06335748634348e-5,5.66163788727551e-5,2.80714248550159e-5
GlcCer(d18:1(8Z)/20:0(2OH[R])),1.05642920599442e-4,9.92580304573311e-5,1.74296899627936e-4,2.86865448522754e-4,1.27478523416957e-4,1.22572255421149e-4,2.00564146458654e-4,4.20771254839323e-4,2.82770166486707e-4,1.44358420902992e-4,3.63797637201784e-4,1.51787662639918e-4
